Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Collision Type,Circumstance_Category,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Person ID,Drivers License State,Vehicle ID,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Latitude,Longitude,Vehicle Model,hour,Crash_year,Crash_month,Crash_day,Crash_hour,Crash_day_name,Crash_date,Crash_week
39,EJ7889005H,250037442,Gaithersburg_Police_Department,Property Damage Crash,2025-08-21 20:45:00,County_Route,LOST KNIFE RD (NB/L),LAYHILL RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Dusk,Traffic Signal,None Detected,21255ED9-7F24-42A0-9417-B8E6887B6D95,MD,7CD7C188-1D7C-4076-B37C-1E285AF02CE9,Six O Clock,PassengerCar,SlowingOrStopping,Northbound,35.0,No,No,2014,FORD,39.15795733,-77.20419581,F-150_Ford,20,2025,8,21,20,Thursday,2025-08-21,34
40,MCP2671004L,250037412,Montgomery_County_Police,Property Damage Crash,2025-08-21 18:09:00,County_Route,RITCHIE AVE,SLIGO AVE,Sideswipe (Opposite Direction),Weather Related,Clear,Dry,Daylight,Stop Sign,None Detected,B56B803C-E1EA-4930-BEAD-33C3D599CED7,MD,8527A97F-C85C-41EB-8CCE-77E627A5CE38,Seven O Clock,Van - Passenger (&lt;9 Seats),StoppedInTrafficLane,Unknown,15.0,No,No,2004,HONDA,38.99049288,-77.01747778,Odyssey_Honda,18,2025,8,21,18,Thursday,2025-08-21,34
41,MCP3304001X,250035441,Montgomery_County_Police,Property Damage Crash,2025-08-09 05:15:00,Maryland_State_Route,RANDOLPH RD,GREENRIVER TERR,Rear-End (Same Direction),Driver Inattention,Clear,Wet,Dark - Lighted,No Control,Suspect Alcohol Only,43492875-6A49-46EA-B466-79B66170323E,MD,9BF8BE0E-F4CE-48EB-B559-B38D93788869,Twelve O Clock,SportUtilityVehicle,MovingConstantSpeed,Not On Roadway,2.5,No,No,2018,HONDA,38.9959665,-77.038263,CR-V_Honda,5,2025,8,9,5,Saturday,2025-08-09,32
42,MCP3304001Y,250036305,Montgomery_County_Police,Property Damage Crash,2025-08-14 15:04:00,Maryland_State_Route,CONNECTICUT AVE (SB/L),BEACH DR,Single Vehicle,Lane Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,02902202-188B-4723-9486-4DCF1194BAF6,MD,6CC60158-307B-460A-8A2F-7E8AF30C223D,Twelve O Clock,PassengerCar,MakingLeftTurn,Northbound,35.0,No,No,2012,TOYOTA,39.00813806,-77.08039863,Corolla_Toyota,15,2025,8,14,15,Thursday,2025-08-14,33
43,MCP28500032,250035697,Montgomery_County_Police,Property Damage Crash,2025-08-11 05:28:00,County_Route,MONTGOMERY VILLAGE AVE,WOODSIDE PKWY,Sideswipe (Same Direction),Driver Inattention,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,CAFA751E-2929-4414-B036-9DA020409F82,MD,412C10A2-EA06-4934-A606-31EF0E105745,Four O Clock,PassengerCar,SlowingOrStopping,Northbound,35.0,No,No,2025,NISSAN,39.16938246,-77.19015201,Rogue_Nissan,5,2025,8,11,5,Monday,2025-08-11,33
45,MCP9379005P,250037328,Montgomery_County_Police,Injury Crash,2025-08-21 08:50:00,Bicycle_Route,BOWIE MILL RD,BALTIMORE RD,Single Vehicle,Right-of-Way Violation,Rain,Wet,Daylight,Pedestrian Crossing,None Detected,2B983297-F9BE-427A-A9C6-4DAC7CCF3B3D,MD,409F2EFB-377A-462A-9EE9-568D8DCA03D6,Twelve O Clock,PassengerCar,MovingConstantSpeed,Northbound,35.0,No,No,2009,LEXUS,39.09073675,-77.11498471,ES_Lexus,8,2025,8,21,8,Thursday,2025-08-21,34
46,MCP30530095,250037232,Montgomery_County_Police,Property Damage Crash,2025-08-20 15:06:00,County_Route,FERRARA DR,OLD COLUMBIA PIKE,Angle Collision,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,3E31639D-B275-436B-B0F0-A7E9B106C83B,MD,DF784654-D4E6-457E-97B1-CAF79F741370,Ten O Clock,PassengerCar,MovingConstantSpeed,Westbound,20.0,No,No,2007,HONDA,39.05242389,-77.08237682,Pilot_Honda,15,2025,8,20,15,Wednesday,2025-08-20,34
47,MCP235800F0,250037724,Montgomery_County_Police,Property Damage Crash,2025-08-23 11:15:00,County_Route,HILLANDALE RD,HAMMONTON RD,Head-On,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,32628B18-E7AD-4E2E-B639-1B8DAFB9A15C,US,65C75E74-6DC3-4790-8DBC-FE1AA7F8C854,One O Clock,PassengerCar,MakingRightTurn,Northbound,25.0,No,No,2008,TOYOTA,38.97784147,-77.09706933,Camry_Toyota,11,2025,8,23,11,Saturday,2025-08-23,34
48,MCP32120045,250037277,Montgomery_County_Police,Property Damage Crash,2025-08-20 17:22:00,Maryland_State_Route,ROCKVILLE PIKE,ARLINGTON RD,Single Vehicle,Passing / Turning,Rain,Wet,Daylight,Traffic Signal,None Detected,A4954A58-2705-43C9-8C47-9D6E87BB559F,MD,78C1B6B9-4579-4505-89F4-1AA4008742F7,Ten O Clock,SportUtilityVehicle,MakingRightTurn,Not On Roadway,2.5,No,No,2015,HONDA,39.18026696,-77.26521726,Pilot_Honda,17,2025,8,20,17,Wednesday,2025-08-20,34
49,EJ79130013,250037327,Gaithersburg_Police_Department,Injury Crash,2025-08-21 08:30:00,Maryland_State_Route,S FREDERICK RD,PEONY DR,Angle Collision,Right-of-Way Violation,Cloudy,Dry,Daylight,Stop Sign,None Detected,3E87F00E-F362-4B62-87D6-5CE1B1F104BB,NV,2E1429DA-2347-4592-BED1-B85B63E7CE5E,Twelve O Clock,PassengerCar,MakingRightTurn,Westbound,25.0,No,No,2018,DODGE,39.13677996,-77.19282949,Challenger_Dodge,8,2025,8,21,8,Thursday,2025-08-21,34
50,EJ78880080,250037080,Gaithersburg_Police_Department,Property Damage Crash,2025-08-19 15:40:00,County_Route,DIAMONDBACK DR,MUDDY BRANCH RD (SB/L),Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,Traffic Signal,None Detected,D4D50C2D-86D2-4997-85AA-955F74B38540,MD,85D0DE0D-5439-44A1-A849-3A011FFAC1CA,VehicleNotAtScene,PassengerCar,SlowingOrStopping,East,45.0,No,No,2013,HYUNDAI,39.11521165,-77.21598515,Sonata_Hyundai,15,2025,8,19,15,Tuesday,2025-08-19,34
