Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Collision Type,Circumstance_Category,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Person ID,Drivers License State,Vehicle ID,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Latitude,Longitude,Vehicle Model,hour,Crash_year,Crash_month,Crash_day,Crash_hour,Crash_day_name,Crash_date,Crash_week
2000,MCP3374003Q,250044082,Montgomery_County_Police,Injury Crash,2025-10-01 08:08:00,Maryland_State_Route,FISHER AVE,CHESTNUT ST,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,5C4C86CF-D6BC-455D-86C9-4A95FD2F16BC,MD,5BD7CD94-D4A3-479D-82A8-34842CE640A9,Twelve O Clock,PassengerCar,Accelerating,Eastbound,35.0,No,No,2010,LEXUS,38.99555533,-77.16684333,ES_Lexus,8,2025,10,1,8,Wednesday,2025-10-01,40
2006,MCP9430000F,250044068,Montgomery_County_Police,Property Damage Crash,2025-10-01 07:47:00,Maryland_State_Route,S FREDERICK RD,PLYERS MILL RD,Back-to-Back,Weather Related,Clear,Dry,Daylight,No Control,None Detected,6A9C0AFB-6A18-4A11-9091-0734D3212933,MD,7F13DA7F-EC08-4756-8F25-625F0A3EC973,Seven O Clock,SchoolBus,Parked,South,2.5,No,Yes,2024,HONDA,39.02638843,-77.13074955,Civic_Honda,7,2025,10,1,7,Wednesday,2025-10-01,40
2014,MCP32630059,250044103,Montgomery_County_Police,Property Damage Crash,2025-10-01 10:20:00,Interstate_Route,CAPITAL BELTWAY (WB/L),UNIVERSITY BLVD E,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,No Control,None Detected,EAFAAC42-F680-4AC4-A591-9C973E7CE866,MD,F65D62C5-786C-4C0E-A07B-B1CABD57FF82,Twelve O Clock,PassengerCar,MovingConstantSpeed,South,62.5,No,No,2001,NISSAN,38.98962783,-77.15721033,Frontier_Nissan,10,2025,10,1,10,Wednesday,2025-10-01,40
2023,MCP3317003Y,250044230,Montgomery_County_Police,Property Damage Crash,2025-10-01 19:36:00,Maryland_State_Route,UNIVERSITY BLVD E,CONNECTICUT AVE,Sideswipe (Same Direction),Lane Violation,Clear,Dry,Dark - Lighted,No Control,None Detected,33EDE072-790B-44BC-B8A3-20226875744E,MD,079EE6F4-EBCD-477A-AB57-4734863A46A7,Eleven O Clock,PassengerCar,ChangingLanes,Eastbound,35.0,No,No,2020,TOYOTA,39.00012288,-76.99557711,Corolla_Toyota,19,2025,10,1,19,Wednesday,2025-10-01,40
2040,MCP3374003Q,250044082,Montgomery_County_Police,Injury Crash,2025-10-01 08:08:00,Maryland_State_Route,BRADLEY BLVD,WISCONSIN AVE,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,No Control,None Detected,41C477EB-0714-47A2-B2D2-7560A0A52E13,MD,C10AA29C-1200-4041-AC1D-4281D87421D3,Six O Clock,PassengerCar,SlowingOrStopping,Eastbound,35.0,No,No,2015,MERCEDES-BENZ,38.99555533,-77.16684333,Gl_Mercedes-Benz,8,2025,10,1,8,Wednesday,2025-10-01,40
2057,MCP285900JS,250044153,Montgomery_County_Police,Injury Crash,2025-10-01 14:00:00,County_Route,FENTON ST,TURKEY THICKET DR,Angle Collision,Traffic Control Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,E62433BD-159C-4C2E-909F-A2F55B152E41,MD,6E844594-6A2D-428C-A41C-FBD16D3D194E,Twelve O Clock,PassengerCar,MovingConstantSpeed,Northbound,40.0,No,No,2016,FORD,39.17244142,-77.17851261,Focus_Ford,14,2025,10,1,14,Wednesday,2025-10-01,40
2065,MCP9430000F,250044068,Montgomery_County_Police,Property Damage Crash,2025-10-01 07:47:00,Maryland_State_Route,QUAINT ACRES DR,MAPLE AVE,Back-to-Back,Backing Error,Clear,Dry,Daylight,Traffic Signal,None Detected,C7F93AC7-E0B7-4B0C-8C9C-84CB0F6DE872,MD,246295E9-53ED-4DC8-9BEC-8B43E1C3597C,Five O Clock,LowSpeedVehicle,Backing,Not On Roadway,2.5,No,No,2011,BMW,39.02638843,-77.13074955,X3_BMW,7,2025,10,1,7,Wednesday,2025-10-01,40
2084,MCP29390087,250044172,Montgomery_County_Police,Property Damage Crash,2025-10-01 15:06:00,County_Route,SENECA CROSSING DR,SCOTTSBURY DR VIRGINIA PINE TERR,Sideswipe (Same Direction),Passing / Turning,Clear,Dry,Daylight,Stop Sign,None Detected,DC25C5E2-2EE3-4731-8148-9EAB05756481,MD,65BA7EBD-AAFB-41D8-B4C8-2A8E9ADAD5B7,Three O Clock,PassengerCar,Accelerating,Northbound,25.0,No,No,2020,HYUNDAI,39.20363257,-77.2419676,Tucson_Hyundai,15,2025,10,1,15,Wednesday,2025-10-01,40
2094,MCP34080023,250044195,Montgomery_County_Police,Injury Crash,2025-10-01 15:30:00,Maryland_State_Route,GEORGIA AVE,EAST WEST HWY,Single Vehicle,Backing Error,Clear,Dry,Daylight,Traffic Signal,None Detected,1C7387CD-9989-4C82-9846-9874370C0101,MD,6951AF75-0AD2-4E90-9F98-AAFE28DC2680,Six O Clock,PassengerCar,Backing,Unknown,2.5,No,No,2014,VOLKSWAGEN,39.04403897,-77.10532704,Jetta SportWagen_Volkswagen,15,2025,10,1,15,Wednesday,2025-10-01,40
2115,EJ79040038,250042903,Gaithersburg_Police_Department,Property Damage Crash,2025-10-01 06:21:00,Municipality_Route,ORCHARD DR,HILLSTONE RD,Angle Collision,Right-of-Way Violation,Clear,Dry,Dark - Lighted,Stop Sign,None Detected,B1E3D8AE-0F73-4440-8700-287D025D0254,MD,3905F3F4-BCE6-4165-8E64-2EA9F9E49B1A,Twelve O Clock,PassengerCar,MovingConstantSpeed,Eastbound,15.0,No,No,2010,HONDA,39.11951087,-77.24984208,Civic_Honda,6,2025,10,1,6,Wednesday,2025-10-01,40
2158,MCP3423002G,250044464,Montgomery_County_Police,Injury Crash,2025-10-03 12:28:00,County_Route,GRACEFIELD RD,CHARLES RD,Rear-End (Same Direction),Road Obstruction,Clear,Dry,Daylight,No Control,None Detected,5D241BB1-72A2-415D-8EDD-4E9B76320ECA,MD,7E8906BD-CC50-49E4-8D73-1C9AC5A5BC48,Six O Clock,PickupTruck,Parked,North,25.0,No,Yes,2012,FORD,39.05425367,-76.95021867,F-550_Ford,12,2025,10,3,12,Friday,2025-10-03,40
2159,EJ7906002V,250044701,Gaithersburg_Police_Department,Property Damage Crash,2025-10-04 19:11:00,Municipality_Route,FLOWER AVE,E WAYNE AVE,Single Vehicle,Backing Error,Clear,Wet,Daylight,No Control,None Detected,6E79A97A-6657-40CA-9301-E5B56A4077E7,MD,7E77D888-AF93-42B7-97A6-ECDE3B864BA0,Six O Clock,PassengerCar,Backing,Not On Roadway,2.5,No,No,2017,FORD,39.14004171,-77.19410215,Explorer_Ford,19,2025,10,4,19,Saturday,2025-10-04,40
2161,MCP33720044,250044690,Montgomery_County_Police,Injury Crash,2025-10-04 19:41:00,County_Route,BONIFANT RD,BEL PRE RD,Head-On,Lane Violation,Clear,Dry,Daylight,No Control,None Detected,E0D59A7F-C6B7-481A-A6ED-8FBF506AAA22,MD,2D05AC01-7DA4-4E45-8F82-B883FC4A84A2,Eleven O Clock,PassengerCar,MovingConstantSpeed,Eastbound,30.0,No,No,2016,HONDA,39.09152567,-77.04242983,Pilot_Honda,19,2025,10,4,19,Saturday,2025-10-04,40
2162,MCP20840005,250044557,Montgomery_County_Police,Property Damage Crash,2025-10-03 20:43:00,County_Route,SHOREFIELD RD,GEORGIA AVE,Angle Collision,Right-of-Way Violation,Clear,Dry,Dark - Lighted,Traffic Signal,Suspect Alcohol (Unclear),16FB44CC-9AA3-4197-A6F4-CC2709A7ED99,MD,16FBC271-5935-4432-956A-1174BDC01662,Three O Clock,PassengerCar,MakingUTurn,Eastbound,35.0,No,No,2010,NISSAN,39.05300756,-77.05087632,Altima_Nissan,20,2025,10,3,20,Friday,2025-10-03,40
2163,MCP308600C6,250044777,Montgomery_County_Police,Injury Crash,2025-10-05 13:50:00,County_Route,SHADY SPRING DR,SPUR TO LAKE FOREST SHOP CTR,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,B163F3E0-A950-419F-8D10-0068E8882A7F,MD,4E514DFA-F585-4606-8BEA-71F04FB60B96,One O Clock,VanCargo,MovingConstantSpeed,Southbound,25.0,No,No,2018,FORD,39.14623967,-77.16437917,Transit_Ford,13,2025,10,5,13,Sunday,2025-10-05,40
2164,MCP3036002P,250044653,Montgomery_County_Police,Injury Crash,2025-10-04 15:01:00,County_Route,AIRPARK RD,UNIVERSITY BLVD W,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,Traffic Signal,None Detected,8F94DE46-5A96-47E1-B127-BBC63D8F55FC,DC,5B6823A3-2D58-4F22-BD29-F61AF99488D7,Six O Clock,PassengerCar,SlowingOrStopping,Northbound,50.0,No,No,2019,SUBARU,39.1687529,-77.15337786,Crosstrek_Subaru,15,2025,10,4,15,Saturday,2025-10-04,40
2165,MCP2286006W,250044735,Montgomery_County_Police,Injury Crash,2025-10-05 09:40:00,Maryland_State_Route,NO NAME,VEIRS MILL RD (WB/L),Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,Traffic Signal,None Detected,BD863E18-32BC-4509-9F23-9A78B44E273E,MD,E3B24192-6814-4C3C-98FD-549BF33FA109,Seven O Clock,SportUtilityVehicle,StoppedInTrafficLane,Westbound,40.0,No,No,2019,NISSAN,39.05131226,-77.07406528,Rogue Sport_Nissan,9,2025,10,5,9,Sunday,2025-10-05,40
2168,MCP3068006Q,250044665,Montgomery_County_Police,Property Damage Crash,2025-10-03 23:54:00,County_Route,JONES BRIDGE RD,ROCKVILLE PIKE,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,ECEC23AF-DC7A-43EC-B405-A2BCE2BA9823,MD,163B82E3-F8A6-4C39-8ABD-42C76A6B716C,Six O Clock,PassengerCar,StoppedInTrafficLane,East,35.0,No,No,2025,TOYOTA,38.99692254,-77.09636625,RAV4_Toyota,23,2025,10,3,23,Friday,2025-10-03,40
2169,MCP2930005R,250044655,Montgomery_County_Police,Injury Crash,2025-10-04 15:46:00,Maryland_State_Route,KENDALE RD,ASHTON RD,Angle Collision,Congestion / Backup,Clear,Dry,Daylight,Traffic Signal,None Detected,6CDE0345-8636-4B87-81FF-D9C0A2FA2DD6,MD,70D1B9BE-B01F-4A14-9D89-7A908129A462,Nine O Clock,PassengerCar,MovingConstantSpeed,East,30.0,No,No,2025,SUBARU,39.14937525,-77.01238135,Forester_Subaru,15,2025,10,4,15,Saturday,2025-10-04,40
2173,EJ7898006Z,250044342,Gaithersburg_Police_Department,Property Damage Crash,2025-10-02 15:04:00,Maryland_State_Route,QUINCE ORCHARD RD (SB/L),EXIT #11,Other,Lane Violation,Clear,Dry,Daylight,No Control,None Detected,DD7CAE55-9589-4CFB-A3E7-A819340C3640,MD,2F6FAE21-CAC2-4DA4-9DDD-6B51E4C4469C,One O Clock,PassengerCar,MovingConstantSpeed,Southbound,40.0,No,No,2021,TOYOTA,39.13909427,-77.2221484,Camry_Toyota,15,2025,10,2,15,Thursday,2025-10-02,40
2174,MCP2686007H,250044795,Montgomery_County_Police,Property Damage Crash,2025-10-05 15:17:00,County_Route,STEDWICK RD,MILLS CHOICE RD MILLS CHOICE RD (NB/L),Angle Collision,Lane Violation,Clear,Dry,Daylight,No Control,None Detected,656B6C58-4801-4E5A-AF81-3D198D10CE29,MD,9CC1275D-92ED-4DD0-8B5F-1869E846108E,Twelve O Clock,Motorcycle2Wheeled,MovingConstantSpeed,Westbound,35.0,No,No,2005,CHEVROLET,39.17023415,-77.20756613,Silverado_Chevrolet,15,2025,10,5,15,Sunday,2025-10-05,40
2175,DD556700B2,250044432,Rockville_Police_Department,Property Damage Crash,2025-10-03 09:58:00,Maryland_State_Route,W MONTGOMERY AVE,DARNESTOWN RD,Rear-End (Same Direction),Road Obstruction,Clear,Dry,Daylight,Traffic Signal,None Detected,57D85A54-43E7-4C4B-8A63-D0559A2D9D4F,MD,5824A48E-3148-4894-A2F0-D542A03729F7,Twelve O Clock,PassengerCar,MovingConstantSpeed,North,45.0,No,No,2010,MAZDA,39.09298356,-77.18297652,Mazda6_Mazda,9,2025,10,3,9,Friday,2025-10-03,40
2176,MCP34450013,250044244,Montgomery_County_Police,Property Damage Crash,2025-10-01 20:52:00,County_Route,TUCKERMAN LA (EB/L),FAIRLAND PARK CT,Single Vehicle,Lane Violation,Clear,Dry,Dark - Lighted,Traffic Signal,Suspect Alcohol Only,92EBB161-915F-46D4-9164-3137E6CD6C78,MD,418951CC-9698-43FA-838E-0A0F69D6FECE,Twelve O Clock,PassengerCar,MovingConstantSpeed,Eastbound,35.0,No,No,2006,BMW,39.03470512,-77.12544015,M35_BMW,20,2025,10,1,20,Wednesday,2025-10-01,40
2177,MCP30090094,250044077,Montgomery_County_Police,Property Damage Crash,2025-10-01 07:30:00,County_Route,DOXDAM TERR,WASH DC LINE,Rear-End (Same Direction),Lane Violation,Clear,Dry,Daylight,No Control,Suspect Alcohol Only,B2143D05-D5DF-43EE-9A57-945988141F77,MD,D36A2420-1B08-4EE6-83FF-173D97FDF579,Twelve O Clock,SportUtilityVehicle,MovingConstantSpeed,Westbound,20.0,No,No,2021,TOYOTA,39.19926988,-77.24238165,RAV4_Toyota,7,2025,10,1,7,Wednesday,2025-10-01,40
2178,MCP3138008B,250044265,Montgomery_County_Police,Injury Crash,2025-10-02 05:49:00,County_Route,SHOREFIELD RD,GEORGIA AVE (SB/L),Single Vehicle,Right-of-Way Violation,Clear,Dry,Dark - Lighted,No Control,None Detected,96DDF3F2-6816-4F23-AFB2-40C98B854780,MD,DB9FBB34-B5C1-4820-A5E4-F67A29364572,NonCollision,PickupTruck,MakingLeftTurn,Westbound,35.0,No,No,2014,CHEVROLET,39.05302299,-77.05118267,Silverado_Chevrolet,5,2025,10,2,5,Thursday,2025-10-02,40
2179,DD556700B2,250044432,Rockville_Police_Department,Property Damage Crash,2025-10-03 09:58:00,Maryland_State_Route,W MONTGOMERY AVE,DARNESTOWN RD,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,Traffic Signal,None Detected,19FA67C5-CA9E-40F9-A3C8-C6253B0CC7FF,MD,7121755C-9D67-4657-A951-787A5BE1F003,Six O Clock,PassengerCar,StoppedInTrafficLane,Eastbound,45.0,No,No,2021,NISSAN,39.09298356,-77.18297652,Versa_Nissan,9,2025,10,3,9,Friday,2025-10-03,40
2182,MCP3192006F,250044825,Montgomery_County_Police,Injury Crash,2025-10-05 19:34:00,County_Route,RANDOLPH RD (WB/L),SANDY SPRING RD,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,FEC18AFA-4CB6-4FCF-B72E-9067792FEC13,MD,69178D11-284D-4AB4-ACC6-35AA4CA6CC43,Six O Clock,PassengerCar,SlowingOrStopping,Southbound,35.0,No,No,2010,TOYOTA,39.05663183,-77.081998,Corolla_Toyota,19,2025,10,5,19,Sunday,2025-10-05,40
2183,MCP3192006F,250044825,Montgomery_County_Police,Injury Crash,2025-10-05 19:34:00,County_Route,RANDOLPH RD (WB/L),GREGG RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,ED057FB0-EB11-4674-8A61-247AF81A0DCB,MD,3EF4FC66-1E09-4262-9F42-1DE2CAF18878,Twelve O Clock,PassengerCar,SlowingOrStopping,Southbound,35.0,No,No,2012,JEEP,39.05663183,-77.081998,Grand Cherokee_Jeep,19,2025,10,5,19,Sunday,2025-10-05,40
2184,MCP30750054,250044258,Montgomery_County_Police,Property Damage Crash,2025-10-02 01:55:00,Maryland_State_Route,CLOPPER RD,NORBECK RD,Single Vehicle,Lane Violation,Clear,Dry,Dark - Lighted,No Control,None Detected,213FF7C9-CF74-4222-9315-E7906F6AD1BF,MD,0B1B4B8C-963C-4F42-A2A2-3076CDC18159,Twelve O Clock,PassengerCar,MovingConstantSpeed,Westbound,35.0,No,No,2011,HONDA,39.160026,-77.277837,Accord_Honda,1,2025,10,2,1,Thursday,2025-10-02,40
2185,MCP3335003Q,250044516,Montgomery_County_Police,Property Damage Crash,2025-10-03 16:09:00,County_Route,ST LAWRENCE DR,WOODMOOR DR,Sideswipe (Same Direction),Passing / Turning,Clear,Dry,Daylight,Stop Sign,None Detected,60DE5A5B-1DB2-4F23-AB2D-59DF916CD371,MD,595E2C67-1E00-47EB-B8C0-F74E0C0E4FB6,Eleven O Clock,PassengerCar,Parked,North,20.0,No,Yes,2020,FORD,39.0204416,-77.00490616,Explorer_Ford,16,2025,10,3,16,Friday,2025-10-03,40
2186,MCP29670077,250044664,Montgomery_County_Police,Property Damage Crash,2025-10-04 17:15:00,County_Route,CHESHIRE DR (SB/L),OLD GEORGETOWN RD,Angle Collision,Traffic Control Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,8E0B1AAE-7075-4DB2-A3C8-D950C8DBE37C,TX,178B2117-7A8F-4E05-B231-DB0F0D5D88E0,Eleven O Clock,PickupTruck,MovingConstantSpeed,Northbound,35.0,No,No,2019,TOYOTA,39.02238693,-77.12357764,Tacoma_Toyota,17,2025,10,4,17,Saturday,2025-10-04,40
2188,MCP33070037,250044622,Montgomery_County_Police,Property Damage Crash,2025-10-04 11:46:00,Maryland_State_Route,GEORGIA AVE (SB/L),OLD RANDOLPH RD,Rear-End (Same Direction),Right-of-Way Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,86252145-5A8A-4D06-8A7B-5775F7F1DCDB,MD,88A4BBD3-A31A-4851-9FFD-8D4945A1E83F,Six O Clock,SportUtilityVehicle,Accelerating,Southbound,45.0,No,No,2018,VOLKSWAGEN,39.0939235,-77.07957917,Atlas_Volkswagen,11,2025,10,4,11,Saturday,2025-10-04,40
2190,MCP33030029,250044626,Montgomery_County_Police,Property Damage Crash,2025-10-04 12:32:00,Maryland_State_Route,CAPITAL BELTWAY,ELDWICK WAY,Sideswipe (Opposite Direction),Driver Inattention,Clear,Dry,Daylight,No Control,None Detected,446E02E1-871C-455E-A8C4-579A996A6810,MD,B849AC26-6687-4962-8E15-255398449E6E,VehicleNotAtScene,PassengerCar,MovingConstantSpeed,Not On Roadway,2.5,No,No,2023,KIA,39.18025882,-77.26678762,Rio_Kia,12,2025,10,4,12,Saturday,2025-10-04,40
2191,MCP219800J0,250044809,Montgomery_County_Police,Injury Crash,2025-10-05 17:48:00,County_Route,SAM EIG HWY,RIVER RD,Angle Collision,Right-of-Way Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,EEA7A5F5-ACA7-4349-AD30-18E9A466CE72,MD,E40BBA85-35B4-4226-8A18-3B8F5B7763E6,Twelve O Clock,PassengerCar,Accelerating,Northbound,40.0,No,No,2018,TOYOTA,39.109036,-77.21204783,Prius_Toyota,17,2025,10,5,17,Sunday,2025-10-05,40
2192,MCP2756007F,250044614,Montgomery_County_Police,Injury Crash,2025-10-04 10:52:00,County_Route,HOMECREST RD,FIRST ST,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,A8293B89-7CEC-4526-8B72-389E33DFD430,MD,E11A6C6B-D9F1-4ACD-A7A3-B690A36D61E7,Six O Clock,PassengerCar,SlowingOrStopping,Southbound,30.0,No,No,2022,TOYOTA,39.09186633,-77.0627365,RAV4_Toyota,10,2025,10,4,10,Saturday,2025-10-04,40
2193,MCP28210031,250044779,Montgomery_County_Police,Property Damage Crash,2025-10-05 13:56:00,County_Route,PLUMMER DR,WISTERIA DR,Single Vehicle,Lane Violation,Clear,Dry,Daylight,Warning Sign,None Detected,091DB3D9-06E8-43A5-861E-64B03D6B51EF,MD,9AECA781-2CD2-48CC-B29F-D6F79ACDED77,Twelve O Clock,SportUtilityVehicle,Accelerating,Westbound,25.0,No,No,2014,HONDA,39.17148714,-77.23654153,CR-V_Honda,13,2025,10,5,13,Sunday,2025-10-05,40
2194,MCP3171002X,250044861,Montgomery_County_Police,Injury Crash,2025-10-06 08:30:00,Local_Route,WATERFORD HILLS BLVD,ASPENWOOD LA,Rear-End (Same Direction),Speed Related,Clear,Dry,Daylight,No Control,None Detected,4E008EFD-8EB9-428D-923B-DF02D49773D0,MD,F6A23149-CF88-45F0-A188-38174B09AC22,Twelve O Clock,SportUtilityVehicle,MovingConstantSpeed,Southbound,30.0,No,No,2015,FORD,39.17738524,-77.27617623,Explorer_Ford,8,2025,10,6,8,Monday,2025-10-06,41
2195,MCP30900091,250044975,Montgomery_County_Police,Injury Crash,2025-10-06 18:32:00,County_Route,ROYAL BONNET CIR (SB/L),ROYAL BONNET TERR,Single Vehicle,Speed Related,Clear,Dry,Daylight,Stop Sign,None Detected,BC08CF6F-D59C-478B-89A9-8BE480D39AC9,MD,0C28A26F-5254-4F7C-B3BD-243F4AE8CE42,Two O Clock,PassengerCar,SlowingOrStopping,Westbound,5.0,No,No,2016,CHEVROLET,39.15301172,-77.19421826,Silverado_Chevrolet,18,2025,10,6,18,Monday,2025-10-06,41
